transaction_id,source_account_id,destination_account_id,transaction_timestamp,transaction_type,amount,channel,country,is_suspicious,transaction_hour,transaction_day_of_week,high_value_transaction,log_amount,anomaly_prediction,is_anomaly,anomaly_score,rule_high_amount,rule_high_risk_country,rule_unusual_hour,rule_trigger_count
TXN_0000001,ACC_000760,ACC_000282,2026-03-12 07:39:02.755011,PAYMENT,14706.68,ATM,USA,0,7,3,0,9.596125085317468,1,0,0.192304590379313,0,0,0,0
TXN_0000002,ACC_000759,ACC_000914,2026-07-16 20:44:25.755011,TRANSFER,6864.26,BRANCH,India,0,20,3,0,8.834229190755108,1,0,0.1908778507407098,0,0,0,0
TXN_0000003,ACC_000239,ACC_000518,2026-04-18 22:01:08.755011,TRANSFER,17627.69,ATM,Hong Kong,0,22,5,0,9.777282967469494,1,0,0.1585320111694542,0,1,0,1
TXN_0000004,ACC_000430,ACC_000226,2026-06-21 06:42:12.755011,DEPOSIT,50394.42,MOBILE,India,0,6,6,0,10.827655576914385,1,0,0.0820044783661236,0,0,0,0
TXN_0000005,ACC_000715,ACC_000433,2026-04-07 11:09:30.755011,WITHDRAWAL,6118.16,MOBILE,USA,0,11,1,0,8.719180111184095,1,0,0.213247884658114,0,0,0,0
TXN_0000006,ACC_000345,ACC_000105,2026-08-02 17:13:57.755011,TRANSFER,6118.28,BRANCH,India,0,17,6,0,8.71919972152659,1,0,0.17171522448916,0,0,0,0
TXN_0000007,ACC_000619,ACC_000271,2026-05-13 06:02:31.755011,TRANSFER,53909.14,BRANCH,UAE,0,6,2,0,10.895073865363136,1,0,0.0999357536867511,0,1,0,1
TXN_0000008,ACC_000388,ACC_000081,2026-09-02 13:18:00.755011,WITHDRAWAL,20351.74,MOBILE,UAE,0,13,2,0,9.920970825541731,1,0,0.1928537370821945,0,1,0,1
TXN_0000009,ACC_000047,ACC_000678,2026-03-20 23:14:33.755011,PAYMENT,4612.99,MOBILE,India,0,23,4,0,8.436848271414489,1,0,0.1549044523755761,0,0,0,0
TXN_0000010,ACC_000104,ACC_000390,2026-08-22 17:11:55.755011,WITHDRAWAL,15538.44,BRANCH,Hong Kong,0,17,5,0,9.651136587236287,1,0,0.1899530107463583,0,1,0,1
TXN_0000011,ACC_000380,ACC_000364,2026-04-08 01:06:54.755011,PAYMENT,4646.64,MOBILE,Hong Kong,0,1,2,0,8.44411484286432,1,0,0.1678522063466368,0,1,1,2
